OBJECTID,Route,Leg,FullName,Direction,Length,City,Comment,Type,RouteID,EditDate,GlobalID
475,78,busPLUS,Fountain,Southbound,7.6140139,Woolwich/Cambridge,"New route Sep 2, 2024",30,995,2024/09/06 14:47:41+00,{43C45B47-F3DC-42FE-9030-B095E0D0AA28}
476,78,busPLUS,Fountain,Northbound,7.91325849,Woolwich/Cambridge,"New route Sep 2, 2024",30,996,2024/09/06 14:51:50+00,{19781A08-A942-41A5-ABBF-C7D9A6E091C7}
477,91,,Late Night Loop,Southbound,7.01487554,Waterloo/Kitchener,"New route Sep 2, 2024",30,998,2024/09/06 15:57:53+00,{5903060C-873D-4968-8D1F-DC377C7D46D4}
478,62,,Speedsville,Loop,10.69577852,Kitchener/Cambridge,"New route Sep 2, 2024",30,994,2024/09/06 14:40:26+00,{5BC20E7A-F453-4730-AC55-9D63BC04E0A7}
479,56,,Langs,Westbound,8.20129372,Cambridge,revised route September 2023,30,999,2025/08/13 10:38:52+00,{A248F05A-21D6-4B44-B735-55EAACDC9D7C}
480,27,,Morrison,Eastbound,5638.83236824,Kitchener,Freeport bridge detour routing,35,1001,2025/10/03 14:32:53+00,{B99CBEDB-28B1-4592-9773-4227BD6B05F6}
481,56,,Langs,Eastbound,6001.61970796,Cambridge,revised route September 2023,30,1000,2025/08/13 10:40:26+00,{7CF10111-7A24-42F1-B93F-5E059CC47207}
482,27,,Morrison,Westbound,4119.05577228,Kitchener,Freeport bridge detour routing,35,1002,2025/10/03 14:33:37+00,{ABCAACF6-6CEC-42D0-A771-0FEFD01AE9AD}
483,34,,Bingemans,Eastbound,9411.99064134,Kitchener,revised Sep 2023,30,1004,2025/08/15 15:53:37+00,{609815C2-1927-4269-892E-C541FC742A98}
484,5,,"Erb (via Erb St E, Hollinger)",Eastbound,15.10624213,Kitchener/Waterloo,Hollinger Extension,0,1003,2025/08/15 15:34:11+00,{D93213AC-AE06-427E-B9CC-C2234E61E44D}
485,34,,Bingemans,Westbound,5.44707127,Kitchener,revised Sep 2023,30,1005,2025/08/15 15:53:45+00,{5EA83BFE-AE9C-4800-AE21-8BFD70066C37}
