X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
535612.3832,4815848.328,6307,10200,1194,Northlake Dr,Green Meadow Cres,535612.3832,4815848.3280003,-80.55953302,43.49471202,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:29:12+00,Active,{1D7696AC-64BC-4229-A13F-D2581F361880}
555807.4087,4800944.1127,6308,10635,1605,Wellington St,Main St,555807.594,4800944.324,-80.311289,43.359285,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:30:34+00,Active,{960C4512-667B-48C4-9982-68D5ADFCFF88}
540759.9121,4805608.7423,6310,13887,3667,Fischer-Hallman Rd,Bleams Rd,540759.9121,4805608.7423,-80.49663393,43.40225148,Kitchener,2018/07/11 10:06:07+00,2019/01/08 14:41:44+00,Active,{317D3EE0-F5AC-46A4-ABA8-3F4CD1233E73}
523342.6114,4802866.6556,6311,13658,7021,Huron St,Union St,523342.691,4802866.865,-80.711842,43.378307,Wilmot,2016/04/18 15:45:46+00,2019/01/08 14:40:55+00,Active,{4A1DF998-1EFA-4A39-945B-6458AD74646B}
543955.0997,4809194.2524,6313,11660,2605,First Ave,Eckert St,543955.09970426,4809194.25241815,-80.45688803,43.43435502,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:05+00,Active,{00E2411D-CC49-4387-B80A-EBB2FCAE4D4A}
539496.1589,4811690.0109,6314,11594,2540,King St W,Grand River Hospital,539496.1589,4811690.0109,-80.51180022,43.45707537,Kitchener,2014/04/04 18:40:35+00,2019/01/17 09:12:53+00,Active,{C39E943D-7550-4430-AC96-48BC0CB9644C}
535502.7897,4813055.2458,6321,12960,1099,Columbia St W,Beechlawn Dr,535502.789,4813055.211,-80.561071,43.469568,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:38:51+00,Active,{A0710806-45DD-44A1-A407-85967EA7B0B3}
544796.5304,4805166.0324,6322,10738,1706,Doon Village Rd,Millwood Cres,544796.53039376,4805166.03235069,-80.446822,43.39803503,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:30:58+00,Active,{0BE26CB5-50F7-4EFA-8D8D-EDC890C0F568}
538126.4604,4809348.5824,6325,12966,3170,Fischer-Hallman Rd,Victoria St S,538126.46041587,4809348.58235375,-80.5288937,43.43606398,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:38:52+00,Active,{7C6A280E-042D-447C-A343-F49C5279263A}
542105.1528,4808897.3529,6326,12126,3067,Hoffman St,Ottawa St S,542105.15278228,4808897.35285119,-80.47976804,43.431788,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:32+00,Active,{E87534D4-B185-48A7-89E9-998A35D9B383}
546028.1874,4804909.2046,6327,10775,1743,Pioneer Dr,Homer Watson Blvd,546028.18741873,4804909.20462723,-80.431635,43.39564797,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:06+00,Active,{FF293357-8D3B-43E0-8449-C73FCD935D6E}
536096.571,4815811.4755,6329,10203,1197,Northfield Dr W,Northgate Ave,536096.571,4815811.47550152,-80.55354703,43.49435698,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:29:13+00,Active,{B26B273A-55F9-43A0-9C64-92EBDB14ED6E}
544541.808,4810529.1807,6331,11912,2854,Franklin St N,Penrose Ave,544541.80801761,4810529.18069735,-80.44952999,43.44634003,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:51+00,Active,{21D624C3-65E8-4137-9309-9A54581B7ED2}
535581.4118,4814763.4288,6335,10151,1146,Highpoint Ave,Toll Gate Blvd,535581.4118,4814763.42882839,-80.55998699,43.48494501,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:29:01+00,Active,{F30F87C7-B8F7-4484-9086-EBB8E718DD3E}
